model,frame_id,fps,latency_ms,precision,recall,f1,mAP,avg_confidence,num_detections
YOLOv8,0,3.83,260.96,0.0,0.0,0.0,0.0,0.8743,1
YOLOv8,1,20.23,49.44,0.0,0.0,0.0,0.0,0.5095,2
YOLOv8,2,18.15,55.11,0.0,0.0,0.0,0.0,0.4235,2
YOLOv8,3,18.56,53.88,0.0,0.0,0.0,0.0,0.6566,2
YOLOv8,4,19.33,51.74,0.0,0.0,0.0,0.0,0.6259,3
YOLOv8,5,18.34,54.52,0.0,0.0,0.0,0.0,0.6961,3
YOLOv8,6,19.56,51.11,0.0,0.0,0.0,0.0,0.6405,3
YOLOv8,7,17.02,58.75,0.0,0.0,0.0,0.0,0.5492,4
YOLOv8,8,21.55,46.41,0.0,0.0,0.0,0.0,0.7073,3
YOLOv8,9,20.82,48.03,0.0,0.0,0.0,0.0,0.6568,3
YOLOv8,10,21.24,47.07,0.0,0.0,0.0,0.0,0.5457,4
YOLOv8,11,20.62,48.5,0.0,0.0,0.0,0.0,0.5738,4
YOLOv8,12,16.68,59.96,0.0,0.0,0.0,0.0,0.6143,5
YOLOv8,13,16.73,59.77,0.0,0.0,0.0,0.0,0.6932,4
YOLOv8,14,15.1,66.21,0.0,0.0,0.0,0.0,0.7058,4
YOLOv8,15,17.45,57.31,0.0,0.0,0.0,0.0,0.7316,4
YOLOv8,16,17.51,57.1,0.0,0.0,0.0,0.0,0.698,4
YOLOv8,17,14.86,67.28,0.0,0.0,0.0,0.0,0.7022,4
YOLOv8,18,17.82,56.12,0.0,0.0,0.0,0.0,0.682,4
YOLOv8,19,21.72,46.03,0.0,0.0,0.0,0.0,0.682,4
YOLOv8,20,15.98,62.56,0.0,0.0,0.0,0.0,0.5556,5
YOLOv8,21,17.86,55.98,0.0,0.0,0.0,0.0,0.5651,5
YOLOv8,22,17.14,58.33,0.0,0.0,0.0,0.0,0.5797,4
YOLOv8,23,20.07,49.82,0.0,0.0,0.0,0.0,0.598,4
YOLOv8,24,18.63,53.68,0.0,0.0,0.0,0.0,0.5359,4
YOLOv8,25,19.62,50.98,0.0,0.0,0.0,0.0,0.642,4
YOLOv8,26,22.42,44.61,0.0,0.0,0.0,0.0,0.6354,4
